"train/global_step","./fine_tuned_scibert - _step","./fine_tuned_scibert - _step__MIN","./fine_tuned_scibert - _step__MAX","./fine_tuned_scibert - train/loss","./fine_tuned_scibert - train/loss__MIN","./fine_tuned_scibert - train/loss__MAX"
"10","0","0","0","6.3711","6.3711","6.3711"
"20","1","1","1","6.2953","6.2953","6.2953"
"30","2","2","2","6.0354","6.0354","6.0354"
"40","3","3","3","5.7372","5.7372","5.7372"
"50","4","4","4","5.1496","5.1496","5.1496"
"60","5","5","5","4.5903","4.5903","4.5903"
"70","6","6","6","4.0087","4.0087","4.0087"
"80","7","7","7","3.3308","3.3308","3.3308"
"90","8","8","8","3.0433","3.0433","3.0433"
"100","9","9","9","2.76","2.76","2.76"
"110","10","10","10","2.6169","2.6169","2.6169"
"120","11","11","11","2.3141","2.3141","2.3141"
"130","12","12","12","2.0729","2.0729","2.0729"
"140","13","13","13","2.0979","2.0979","2.0979"
"150","14","14","14","1.8261","1.8261","1.8261"
"160","15","15","15","1.7196","1.7196","1.7196"
"170","16","16","16","1.4335","1.4335","1.4335"
"180","17","17","17","1.3078","1.3078","1.3078"
"190","18","18","18","1.0886","1.0886","1.0886"
"200","19","19","19","0.9353","0.9353","0.9353"
"210","20","20","20","0.8427","0.8427","0.8427"
"220","21","21","21","0.6204","0.6204","0.6204"
"230","22","22","22","0.6623","0.6623","0.6623"
